,t,fC
0,0,0.2852233676975945
1,1,0.23024054982817868
2,2,0.21649484536082475
3,3,0.21649484536082475
4,4,0.2508591065292096
5,5,0.23367697594501718
6,6,0.23024054982817868
7,7,0.24742268041237114
8,8,0.23024054982817868
9,9,0.27835051546391754
10,10,0.2646048109965636
11,11,0.27147766323024053
12,12,0.21649484536082475
13,13,0.21305841924398625
14,14,0.2646048109965636
15,15,0.21993127147766323
16,16,0.2268041237113402
17,17,0.2542955326460481
18,18,0.24742268041237114
19,19,0.23711340206185566
20,20,0.20618556701030927
21,21,0.2508591065292096
22,22,0.23024054982817868
23,23,0.24742268041237114
24,24,0.2646048109965636
25,25,0.23711340206185566
26,26,0.23024054982817868
27,27,0.27147766323024053
28,28,0.23367697594501718
29,29,0.25773195876288657
30,30,0.27835051546391754
31,31,0.2542955326460481
32,32,0.21993127147766323
33,33,0.2508591065292096
34,34,0.23367697594501718
35,35,0.23711340206185566
36,36,0.24398625429553264
37,37,0.24398625429553264
38,38,0.24054982817869416
39,39,0.2542955326460481
40,40,0.2027491408934708
41,41,0.24742268041237114
42,42,0.2027491408934708
43,43,0.24054982817869416
44,44,0.26804123711340205
45,45,0.2508591065292096
46,46,0.20962199312714777
47,47,0.25773195876288657
48,48,0.2508591065292096
49,49,0.2268041237113402
50,50,0.27147766323024053
51,51,0.23024054982817868
52,52,0.26804123711340205
53,53,0.2611683848797251
54,54,0.24398625429553264
55,55,0.26804123711340205
56,56,0.23711340206185566
57,57,0.25773195876288657
58,58,0.2646048109965636
59,59,0.2611683848797251
60,60,0.281786941580756
61,61,0.2268041237113402
62,62,0.21993127147766323
63,63,0.23711340206185566
64,64,0.26804123711340205
65,65,0.24054982817869416
66,66,0.2646048109965636
67,67,0.26804123711340205
68,68,0.28865979381443296
69,69,0.24398625429553264
70,70,0.26804123711340205
71,71,0.26804123711340205
72,72,0.2852233676975945
73,73,0.26804123711340205
74,74,0.23367697594501718
75,75,0.23367697594501718
76,76,0.24398625429553264
77,77,0.24054982817869416
78,78,0.24054982817869416
79,79,0.26804123711340205
80,80,0.2508591065292096
81,81,0.24398625429553264
82,82,0.24398625429553264
83,83,0.25773195876288657
84,84,0.2646048109965636
85,85,0.21993127147766323
86,86,0.21649484536082475
87,87,0.23367697594501718
88,88,0.27835051546391754
89,89,0.21649484536082475
90,90,0.21305841924398625
91,91,0.23024054982817868
92,92,0.28865979381443296
93,93,0.26804123711340205
94,94,0.2611683848797251
95,95,0.281786941580756
96,96,0.2508591065292096
97,97,0.25773195876288657
98,98,0.21649484536082475
99,99,0.2508591065292096
100,100,0.26804123711340205
101,101,0.23024054982817868
102,102,0.2268041237113402
103,103,0.21649484536082475
104,104,0.23367697594501718
105,105,0.26804123711340205
106,106,0.2508591065292096
107,107,0.21993127147766323
108,108,0.24398625429553264
109,109,0.21305841924398625
110,110,0.25773195876288657
111,111,0.27835051546391754
112,112,0.21305841924398625
113,113,0.24054982817869416
114,114,0.24742268041237114
115,115,0.27491408934707906
116,116,0.2268041237113402
117,117,0.2508591065292096
118,118,0.26804123711340205
119,119,0.2646048109965636
120,120,0.26804123711340205
121,121,0.2646048109965636
122,122,0.2508591065292096
123,123,0.27147766323024053
124,124,0.2542955326460481
125,125,0.2542955326460481
126,126,0.27491408934707906
127,127,0.23367697594501718
128,128,0.2611683848797251
129,129,0.21649484536082475
130,130,0.24054982817869416
131,131,0.27491408934707906
132,132,0.21993127147766323
133,133,0.2611683848797251
134,134,0.23367697594501718
135,135,0.23367697594501718
136,136,0.2646048109965636
137,137,0.2542955326460481
138,138,0.23024054982817868
139,139,0.2611683848797251
140,140,0.2542955326460481
141,141,0.281786941580756
142,142,0.22336769759450173
143,143,0.23367697594501718
144,144,0.25773195876288657
145,145,0.29553264604810997
146,146,0.2542955326460481
147,147,0.2611683848797251
148,148,0.23024054982817868
149,149,0.24054982817869416
150,150,0.23711340206185566
151,151,0.2508591065292096
152,152,0.22336769759450173
153,153,0.27147766323024053
154,154,0.23367697594501718
155,155,0.24742268041237114
156,156,0.2508591065292096
157,157,0.281786941580756
158,158,0.23024054982817868
159,159,0.23024054982817868
160,160,0.23024054982817868
161,161,0.29553264604810997
162,162,0.24398625429553264
163,163,0.25773195876288657
164,164,0.27147766323024053
165,165,0.26804123711340205
166,166,0.25773195876288657
167,167,0.2508591065292096
168,168,0.21305841924398625
169,169,0.24742268041237114
170,170,0.25773195876288657
171,171,0.25773195876288657
172,172,0.27491408934707906
173,173,0.21993127147766323
174,174,0.26804123711340205
175,175,0.23367697594501718
176,176,0.27491408934707906
177,177,0.22336769759450173
178,178,0.24742268041237114
179,179,0.21305841924398625
180,180,0.23024054982817868
181,181,0.23024054982817868
182,182,0.21993127147766323
183,183,0.22336769759450173
184,184,0.2920962199312715
185,185,0.22336769759450173
186,186,0.23024054982817868
187,187,0.24054982817869416
188,188,0.20618556701030927
189,189,0.2542955326460481
190,190,0.20962199312714777
191,191,0.2508591065292096
192,192,0.21649484536082475
193,193,0.21649484536082475
194,194,0.2508591065292096
195,195,0.29553264604810997
196,196,0.2508591065292096
197,197,0.26804123711340205
198,198,0.2508591065292096
199,199,0.23367697594501718
200,200,0.281786941580756
201,0,0.28222996515679444
202,1,0.21602787456445993
203,2,0.21951219512195122
204,3,0.2508710801393728
205,4,0.1916376306620209
206,5,0.23344947735191637
207,6,0.21254355400696864
208,7,0.2264808362369338
209,8,0.23344947735191637
210,9,0.2508710801393728
211,10,0.2264808362369338
212,11,0.20557491289198607
213,12,0.23693379790940766
214,13,0.25435540069686413
215,14,0.2264808362369338
216,15,0.23693379790940766
217,16,0.22996515679442509
218,17,0.2682926829268293
219,18,0.21951219512195122
220,19,0.20209059233449478
221,20,0.24041811846689895
222,21,0.24738675958188153
223,22,0.2264808362369338
224,23,0.2264808362369338
225,24,0.23344947735191637
226,25,0.22996515679442509
227,26,0.23344947735191637
228,27,0.23344947735191637
229,28,0.24738675958188153
230,29,0.25435540069686413
231,30,0.24041811846689895
232,31,0.23344947735191637
233,32,0.2857142857142857
234,33,0.23344947735191637
235,34,0.2682926829268293
236,35,0.27177700348432055
237,36,0.23344947735191637
238,37,0.2787456445993031
239,38,0.27177700348432055
240,39,0.18466898954703834
241,40,0.26480836236933797
242,41,0.2682926829268293
243,42,0.2682926829268293
244,43,0.21254355400696864
245,44,0.21602787456445993
246,45,0.24738675958188153
247,46,0.24041811846689895
248,47,0.2229965156794425
249,48,0.18815331010452963
250,49,0.21602787456445993
251,50,0.21254355400696864
252,51,0.27526132404181186
253,52,0.2613240418118467
254,53,0.21951219512195122
255,54,0.20905923344947736
256,55,0.2264808362369338
257,56,0.2229965156794425
258,57,0.21951219512195122
259,58,0.24390243902439024
260,59,0.2264808362369338
261,60,0.2613240418118467
262,61,0.2578397212543554
263,62,0.2857142857142857
264,63,0.2229965156794425
265,64,0.20557491289198607
266,65,0.2229965156794425
267,66,0.21951219512195122
268,67,0.21951219512195122
269,68,0.24738675958188153
270,69,0.23693379790940766
271,70,0.23693379790940766
272,71,0.2578397212543554
273,72,0.23344947735191637
274,73,0.23693379790940766
275,74,0.2682926829268293
276,75,0.2508710801393728
277,76,0.2613240418118467
278,77,0.23344947735191637
279,78,0.24041811846689895
280,79,0.2264808362369338
281,80,0.2682926829268293
282,81,0.23693379790940766
283,82,0.28222996515679444
284,83,0.2613240418118467
285,84,0.24390243902439024
286,85,0.24390243902439024
287,86,0.21602787456445993
288,87,0.24738675958188153
289,88,0.24738675958188153
290,89,0.26480836236933797
291,90,0.2264808362369338
292,91,0.24738675958188153
293,92,0.2578397212543554
294,93,0.2682926829268293
295,94,0.1986062717770035
296,95,0.2857142857142857
297,96,0.2264808362369338
298,97,0.23693379790940766
299,98,0.23693379790940766
300,99,0.22996515679442509
301,100,0.22996515679442509
302,101,0.21602787456445993
303,102,0.1916376306620209
304,103,0.23344947735191637
305,104,0.1916376306620209
306,105,0.2229965156794425
307,106,0.23344947735191637
308,107,0.27177700348432055
309,108,0.2613240418118467
310,109,0.24390243902439024
311,110,0.26480836236933797
312,111,0.20209059233449478
313,112,0.22996515679442509
314,113,0.25435540069686413
315,114,0.25435540069686413
316,115,0.23344947735191637
317,116,0.21254355400696864
318,117,0.2264808362369338
319,118,0.24738675958188153
320,119,0.26480836236933797
321,120,0.22996515679442509
322,121,0.2613240418118467
323,122,0.2229965156794425
324,123,0.2682926829268293
325,124,0.24390243902439024
326,125,0.2229965156794425
327,126,0.21602787456445993
328,127,0.21951219512195122
329,128,0.24041811846689895
330,129,0.23344947735191637
331,130,0.2578397212543554
332,131,0.27177700348432055
333,132,0.22996515679442509
334,133,0.2264808362369338
335,134,0.21951219512195122
336,135,0.21254355400696864
337,136,0.26480836236933797
338,137,0.21951219512195122
339,138,0.23693379790940766
340,139,0.2613240418118467
341,140,0.2229965156794425
342,141,0.2264808362369338
343,142,0.20905923344947736
344,143,0.27177700348432055
345,144,0.24390243902439024
346,145,0.2682926829268293
347,146,0.26480836236933797
