,K,tau,fc,fc0,res
0,0.0,1,0.10339999999999995,0.09579999999999997,1.079331941544885
1,0.0,2,0.09219999999999998,0.09899999999999999,0.9313131313131312
2,0.0,3,0.10319999999999993,0.09639999999999993,1.070539419087137
3,0.0,4,0.09979999999999993,0.10339999999999995,0.9651837524177947
4,0.0,5,0.10459999999999994,0.10679999999999995,0.9794007490636704
5,0.0,6,0.09419999999999995,0.09979999999999993,0.9438877755511024
6,0.0,7,0.10859999999999996,0.09839999999999996,1.103658536585366
7,0.0,8,0.10359999999999993,0.10639999999999995,0.9736842105263156
8,0.0,9,0.0971999999999999,0.10379999999999995,0.9364161849710978
9,0.0,10,0.10039999999999993,0.09719999999999994,1.0329218106995885
10,0.01,1,0.13199999999999998,0.09999999999999995,1.3200000000000005
11,0.01,2,0.1307999999999999,0.10339999999999995,1.2649903288201156
12,0.01,3,0.13239999999999993,0.10159999999999991,1.3031496062992132
13,0.01,4,0.14039999999999997,0.09579999999999994,1.4655532359081425
14,0.01,5,0.13219999999999998,0.09639999999999996,1.3713692946058096
15,0.01,6,0.13479999999999992,0.10499999999999994,1.2838095238095237
16,0.01,7,0.1393999999999999,0.09419999999999995,1.4798301486199574
17,0.01,8,0.13599999999999993,0.10419999999999995,1.3051823416506718
18,0.01,9,0.13039999999999996,0.10579999999999996,1.2325141776937618
19,0.01,10,0.13539999999999996,0.1047999999999999,1.2919847328244285
20,0.02,1,0.17759999999999987,0.09299999999999992,1.909677419354839
21,0.02,2,0.18739999999999996,0.09699999999999993,1.9319587628865988
22,0.02,3,0.18439999999999998,0.09759999999999995,1.8893442622950827
23,0.02,4,0.1819999999999999,0.11039999999999991,1.6485507246376816
24,0.02,5,0.20059999999999992,0.09899999999999987,2.026262626262628
25,0.02,6,0.18159999999999996,0.09959999999999995,1.8232931726907635
26,0.02,7,0.20019999999999988,0.10119999999999997,1.9782608695652169
27,0.02,8,0.18139999999999992,0.09539999999999994,1.9014675052410905
28,0.02,9,0.18839999999999985,0.10099999999999998,1.8653465346534641
