,K,tau,fc,fc0,res
82,0.08,3,0.2876,0.142,2.0253521126760567
83,0.08,4,0.2764000000000001,0.1605999999999999,1.7210460772104623
84,0.08,5,0.287,0.1223999999999999,2.3447712418300672
85,0.08,6,0.28520000000000023,0.15159999999999996,1.8812664907651735
86,0.08,7,0.2819999999999999,0.14679999999999996,1.9209809264305178
87,0.08,8,0.2582,0.14939999999999998,1.7282463186077646
88,0.08,9,0.26899999999999996,0.1685999999999999,1.5954922894424681
89,0.08,10,0.25539999999999996,0.1336,1.9116766467065867
90,0.09,1,0.28259999999999996,0.13879999999999992,2.036023054755044
91,0.09,2,0.27880000000000005,0.1395999999999999,1.997134670487108
92,0.09,3,0.2740000000000002,0.15179999999999993,1.8050065876152852
93,0.09,4,0.27880000000000005,0.15539999999999998,1.7940797940797946
94,0.09,5,0.27020000000000005,0.14159999999999998,1.908192090395481
95,0.09,6,0.2788,0.15039999999999995,1.8537234042553197
96,0.09,7,0.27779999999999994,0.16379999999999995,1.6959706959706962
97,0.09,8,0.27160000000000006,0.15419999999999992,1.7613488975356693
98,0.09,9,0.285,0.14999999999999997,1.9000000000000004
99,0.09,10,0.2812,0.15179999999999993,1.8524374176548097
100,0.1,1,0.2832,0.14699999999999994,1.9265306122448989
101,0.1,2,0.2982000000000002,0.1421999999999999,2.0970464135021123
102,0.1,3,0.274,0.13239999999999993,2.069486404833838
103,0.1,4,0.28380000000000005,0.16099999999999995,1.7627329192546592
104,0.1,5,0.2736,0.13199999999999995,2.0727272727272736
105,0.1,6,0.26739999999999997,0.14459999999999998,1.8492392807745506
106,0.1,7,0.2722000000000001,0.14499999999999993,1.8772413793103464
107,0.1,8,0.2914000000000001,0.1457999999999999,1.9986282578875192
108,0.1,9,0.2908,0.1722,1.688734030197445
109,0.1,10,0.2792,0.12639999999999996,2.2088607594936716
