,K,tau,fc,fc0,res
0,0.0,1,0.06839999999999996,0.060599999999999966,1.1287128712871286
1,0.0,2,0.06779999999999996,0.0744,0.9112903225806447
2,0.0,3,0.06419999999999994,0.06799999999999998,0.944117647058823
3,0.0,4,0.06999999999999995,0.06539999999999994,1.070336391437309
4,0.0,5,0.07159999999999998,0.06099999999999997,1.173770491803279
5,0.0,6,0.07239999999999996,0.07019999999999996,1.0313390313390314
6,0.0,7,0.06319999999999998,0.05679999999999997,1.1126760563380285
7,0.0,8,0.06719999999999994,0.06919999999999997,0.9710982658959533
8,0.0,9,0.07159999999999996,0.06039999999999992,1.1854304635761599
9,0.0,10,0.06899999999999996,0.062199999999999936,1.1093247588424442
10,0.01,1,0.09199999999999997,0.06259999999999995,1.4696485623003201
11,0.01,2,0.10739999999999993,0.06459999999999995,1.6625386996904026
12,0.01,3,0.07399999999999995,0.06999999999999995,1.0571428571428572
13,0.01,4,0.09559999999999999,0.07079999999999995,1.3502824858757072
14,0.01,5,0.10399999999999998,0.06699999999999992,1.5522388059701508
15,0.01,6,0.0905999999999999,0.07159999999999996,1.2653631284916196
16,0.01,7,0.08099999999999995,0.0717999999999999,1.1281337047353768
17,0.01,8,0.10039999999999993,0.06939999999999995,1.446685878962536
18,0.01,9,0.08239999999999992,0.06179999999999995,1.333333333333333
19,0.01,10,0.09939999999999992,0.05919999999999996,1.6790540540540537
20,0.02,1,0.12899999999999998,0.05819999999999997,2.2164948453608257
21,0.02,2,0.14579999999999993,0.06899999999999995,2.1130434782608702
22,0.02,3,0.13219999999999993,0.06419999999999995,2.0591900311526485
23,0.02,4,0.13559999999999994,0.06039999999999995,2.2450331125827825
24,0.02,5,0.1461999999999999,0.061599999999999974,2.373376623376623
25,0.02,6,0.13699999999999996,0.06479999999999994,2.1141975308641987
26,0.02,7,0.13179999999999992,0.06859999999999997,1.921282798833819
27,0.02,8,0.1409999999999999,0.06239999999999992,2.259615384615386
28,0.02,9,0.12559999999999996,0.06059999999999998,2.072607260726073
29,0.02,10,0.13399999999999992,0.06999999999999998,1.9142857142857137
30,0.03,1,0.1489999999999999,0.05879999999999999,2.534013605442176
31,0.03,2,0.15179999999999996,0.0664,2.2861445783132526
32,0.03,3,0.1589999999999999,0.06380000000000001,2.4921630094043867
33,0.03,4,0.1617999999999999,0.06879999999999996,2.3517441860465116
34,0.03,5,0.15940000000000001,0.06479999999999995,2.4598765432098784
35,0.03,6,0.17579999999999987,0.061199999999999956,2.872549019607843
36,0.03,7,0.14759999999999993,0.05279999999999999,2.7954545454545445
37,0.03,8,0.1407999999999999,0.06599999999999995,2.1333333333333333
38,0.03,9,0.15739999999999998,0.06839999999999996,2.301169590643276
39,0.03,10,0.15759999999999988,0.07119999999999996,2.213483146067415
40,0.04,1,0.177,0.06019999999999997,2.940199335548174
41,0.04,2,0.18719999999999992,0.06139999999999996,3.0488599348534207
42,0.04,3,0.16200000000000003,0.06959999999999997,2.3275862068965534
43,0.04,4,0.18839999999999996,0.06479999999999995,2.9074074074074088
44,0.04,5,0.16399999999999998,0.07099999999999995,2.309859154929579
45,0.04,6,0.1963999999999999,0.06759999999999995,2.905325443786983
46,0.04,7,0.19199999999999995,0.06559999999999994,2.926829268292685
47,0.04,8,0.1783999999999999,0.05879999999999996,3.034013605442177
48,0.04,9,0.16419999999999998,0.05819999999999997,2.8213058419244
49,0.04,10,0.16299999999999984,0.060799999999999965,2.680921052631578
50,0.05,1,0.1924,0.05639999999999998,3.4113475177304977
51,0.05,2,0.19099999999999986,0.054999999999999966,3.472727272727272
52,0.05,3,0.19579999999999986,0.0636,3.0786163522012555
53,0.05,4,0.15539999999999995,0.06919999999999997,2.2456647398843934
54,0.05,5,0.15599999999999986,0.07559999999999993,2.0634920634920637
55,0.05,6,0.18239999999999995,0.07019999999999996,2.5982905982905993
56,0.05,7,0.17159999999999986,0.07219999999999996,2.3767313019390577
57,0.05,8,0.19839999999999997,0.06339999999999994,3.129337539432179
58,0.05,9,0.19119999999999993,0.0572,3.342657342657341
