,K,tau,fc,fc0,res
97,0.09,8,0.08339999999999989,0.03340000000000002,2.4970059880239472
98,0.09,9,0.06899999999999994,0.025800000000000014,2.674418604651159
99,0.09,10,0.06939999999999999,0.03240000000000002,2.1419753086419737
100,0.1,1,0.07999999999999996,0.030200000000000022,2.649006622516553
101,0.1,2,0.07379999999999992,0.036200000000000024,2.0386740331491677
102,0.1,3,0.06739999999999996,0.029200000000000018,2.3082191780821892
103,0.1,4,0.07639999999999991,0.03260000000000002,2.343558282208585
104,0.1,5,0.06839999999999996,0.030000000000000016,2.2799999999999976
105,0.1,6,0.08799999999999997,0.032800000000000024,2.6829268292682897
106,0.1,7,0.08139999999999992,0.03320000000000002,2.4518072289156585
107,0.1,8,0.07419999999999995,0.03020000000000002,2.4569536423841027
108,0.1,9,0.07899999999999992,0.029600000000000022,2.668918918918914
109,0.1,10,0.07799999999999994,0.02720000000000002,2.8676470588235254
