,K,Mean,Error
0,0.0,0.11360080240722167,0.0027211610052326933
1,0.001,0.18793146104981612,0.0034957217500537585
2,0.01,0.21781578067535942,0.00721507619021893
3,0.1,0.22654162487462387,0.021598259183757112
