,K,Mean,Error
0,0.0,0.11262387161484452,0.0029055600964542376
1,0.001,0.22685891006352393,0.000866539237516307
2,0.01,0.2498328318288198,0.000646254074957881
3,0.1,0.25036242059511865,0.0007064143200090953
