,K,tau,fc,fc0,res
66,0.06,7,0.3394000000000002,0.345,0.9837681159420296
67,0.06,8,0.37999999999999995,0.3337999999999998,1.1384062312762138
68,0.06,9,0.30540000000000006,0.34419999999999995,0.887274840209181
69,0.06,10,0.35700000000000004,0.35359999999999997,1.0096153846153848
70,0.07,1,0.5526,0.5638000000000001,0.9801347995743169
71,0.07,2,0.46700000000000036,0.5086,0.9182068423122303
72,0.07,3,0.4389999999999998,0.4860000000000001,0.9032921810699582
73,0.07,4,0.39499999999999985,0.4628,0.8535004321521172
74,0.07,5,0.38000000000000006,0.37900000000000006,1.0026385224274406
75,0.07,6,0.31420000000000003,0.4114,0.763733592610598
76,0.07,7,0.34,0.35619999999999996,0.9545199326221225
77,0.07,8,0.3862,0.2825999999999999,1.3665958952583162
78,0.07,9,0.3477999999999999,0.3487999999999999,0.9971330275229358
79,0.07,10,0.34699999999999986,0.34239999999999987,1.0134345794392523
80,0.08,1,0.49519999999999975,0.524,0.9450381679389308
81,0.08,2,0.39820000000000005,0.5129999999999998,0.776218323586745
82,0.08,3,0.43039999999999984,0.4517999999999999,0.9526339088092074
83,0.08,4,0.40519999999999995,0.392,1.033673469387755
84,0.08,5,0.3541999999999998,0.4415999999999999,0.802083333333333
85,0.08,6,0.3738,0.40979999999999994,0.9121522693997074
86,0.08,7,0.358,0.4054,0.8830784410458806
87,0.08,8,0.34980000000000006,0.32819999999999994,1.0658135283363805
88,0.08,9,0.3498000000000001,0.3153999999999998,1.1090678503487645
89,0.08,10,0.36300000000000004,0.28759999999999986,1.2621696801112665
90,0.09,1,0.48259999999999986,0.5756000000000002,0.8384294649061843
91,0.09,2,0.45040000000000013,0.5347999999999999,0.842183994016455
92,0.09,3,0.4254,0.4623999999999998,0.9199826989619381
93,0.09,4,0.36200000000000004,0.4242000000000001,0.8533710513908533
94,0.09,5,0.35820000000000013,0.4072,0.8796660117878196
95,0.09,6,0.31839999999999996,0.39940000000000003,0.7971957936905356
96,0.09,7,0.3355999999999999,0.34659999999999996,0.9682631275245237
97,0.09,8,0.3491999999999999,0.423,0.8255319148936168
98,0.09,9,0.3507999999999999,0.35119999999999985,0.9988610478359911
99,0.09,10,0.3752,0.3305999999999999,1.1349062310949791
100,0.1,1,0.5086000000000002,0.5324,0.9552967693463564
101,0.1,2,0.40380000000000016,0.5119999999999997,0.7886718750000008
102,0.1,3,0.42639999999999995,0.48919999999999997,0.8716271463614064
103,0.1,4,0.40499999999999986,0.466,0.8690987124463516
104,0.1,5,0.3946,0.3996000000000002,0.987487487487487
105,0.1,6,0.3435999999999998,0.4229999999999999,0.8122931442080376
106,0.1,7,0.395,0.3307999999999998,1.1940749697702546
107,0.1,8,0.3683999999999999,0.3568,1.0325112107623315
108,0.1,9,0.3238,0.3343999999999999,0.9683014354066988
109,0.1,10,0.34919999999999995,0.3567999999999998,0.9786995515695072
