,K,Mean,Error
0,0.0,0.24838908355918377,0.0037114739446044314
1,0.001,0.25241908723403517,0.0012575778829499629
2,0.01,0.25017239857683504,0.0006680902913119656
3,0.1,0.25014392086446113,0.0005856246848391753
