,K,Mean,Error
0,0.0,0.24999285469293722,0.004054856151967019
1,0.001,0.2531878348737059,0.0032512781064789917
2,0.01,0.24997990986202473,0.007872313396953393
3,0.1,0.25593291670437485,0.025042597250658456
