,K,tau,fc,fc0,res
95,0.09,6,0.0074,0.0,inf
96,0.09,7,0.0074,0.006999999999999999,1.0571428571428574
97,0.09,8,0.0074,0.0072,1.027777777777778
98,0.09,9,0.0,0.006999999999999999,0.0
99,0.09,10,0.0074,0.0078000000000000005,0.9487179487179487
100,0.1,1,0.0,0.006999999999999999,0.0
101,0.1,2,0.006999999999999999,0.0066,1.0606060606060606
102,0.1,3,0.0066,0.008199999999999999,0.8048780487804879
103,0.1,4,0.0074,0.0062,1.1935483870967742
104,0.1,5,0.0064,0.0046,1.3913043478260871
105,0.1,6,0.0018,0.0,inf
106,0.1,7,0.0076,0.006999999999999999,1.0857142857142859
107,0.1,8,0.0076,0.005600000000000001,1.357142857142857
108,0.1,9,0.0064,0.0064,1.0
109,0.1,10,0.0062,0.0074,0.8378378378378377
