,K,tau,fc,fc0,res
0,0.0,1,0.26719999999999994,0.29479999999999995,0.9063772048846676
1,0.0,2,0.20679999999999993,0.2023999999999999,1.0217391304347827
2,0.0,3,0.21559999999999988,0.22380000000000005,0.9633601429848071
3,0.0,4,0.16879999999999992,0.19159999999999988,0.8810020876826724
4,0.0,5,0.1764,0.1763999999999999,1.0000000000000007
5,0.0,6,0.15139999999999995,0.1537999999999999,0.9843953185955789
6,0.0,7,0.16579999999999992,0.13059999999999997,1.2695252679938742
7,0.0,8,0.15639999999999996,0.14739999999999995,1.0610583446404342
8,0.0,9,0.1575999999999999,0.14959999999999993,1.053475935828877
9,0.0,10,0.14559999999999998,0.12179999999999996,1.1954022988505748
10,0.01,1,0.31299999999999994,0.2775999999999999,1.1275216138328532
11,0.01,2,0.25540000000000007,0.241,1.0597510373443986
12,0.01,3,0.22119999999999998,0.16839999999999997,1.31353919239905
13,0.01,4,0.20000000000000004,0.1911999999999999,1.0460251046025113
14,0.01,5,0.2202,0.17579999999999998,1.2525597269624575
15,0.01,6,0.1824,0.14179999999999995,1.2863187588152332
16,0.01,7,0.17079999999999998,0.15039999999999995,1.1356382978723407
17,0.01,8,0.18719999999999998,0.15659999999999993,1.195402298850575
18,0.01,9,0.15559999999999996,0.15619999999999998,0.996158770806658
19,0.01,10,0.21280000000000002,0.14299999999999993,1.4881118881118889
20,0.02,1,0.3039999999999999,0.2973999999999999,1.0221923335574983
21,0.02,2,0.2936000000000001,0.20819999999999997,1.4101825168107596
22,0.02,3,0.24739999999999995,0.19059999999999996,1.29800629590766
23,0.02,4,0.2193999999999999,0.17680000000000004,1.240950226244343
24,0.02,5,0.24219999999999994,0.17459999999999995,1.3871706758304698
25,0.02,6,0.22379999999999992,0.1569999999999999,1.42547770700637
26,0.02,7,0.24159999999999993,0.1447999999999999,1.6685082872928183
27,0.02,8,0.2192,0.15439999999999998,1.4196891191709846
28,0.02,9,0.22899999999999984,0.15599999999999986,1.4679487179487183
29,0.02,10,0.23199999999999985,0.15379999999999994,1.508452535760728
30,0.03,1,0.3269999999999999,0.2684000000000001,1.2183308494783898
31,0.03,2,0.27359999999999995,0.23079999999999995,1.1854419410745234
32,0.03,3,0.2636,0.19219999999999993,1.3714880332986479
33,0.03,4,0.2534,0.1723999999999999,1.4698375870069615
34,0.03,5,0.24259999999999995,0.1644,1.4756690997566908
35,0.03,6,0.25499999999999984,0.16599999999999995,1.5361445783132526
36,0.03,7,0.25340000000000007,0.16379999999999992,1.5470085470085482
37,0.03,8,0.24459999999999998,0.15399999999999994,1.5883116883116888
38,0.03,9,0.24599999999999994,0.13619999999999996,1.8061674008810573
39,0.03,10,0.24179999999999996,0.1445999999999999,1.6721991701244823
40,0.04,1,0.33240000000000003,0.31379999999999997,1.0592734225621416
41,0.04,2,0.29200000000000004,0.23159999999999986,1.2607944732297074
42,0.04,3,0.29599999999999993,0.15619999999999995,1.8950064020486557
43,0.04,4,0.26120000000000004,0.18059999999999996,1.4462901439645632
44,0.04,5,0.2816,0.16639999999999996,1.6923076923076927
45,0.04,6,0.2728000000000001,0.16159999999999988,1.6881188118811898
46,0.04,7,0.2710000000000001,0.1623999999999999,1.6687192118226615
47,0.04,8,0.2669999999999999,0.13459999999999997,1.9836552748885585
48,0.04,9,0.25379999999999997,0.13939999999999997,1.8206599713055955
49,0.04,10,0.26199999999999996,0.11899999999999988,2.2016806722689095
50,0.05,1,0.2958,0.2776,1.0655619596541785
51,0.05,2,0.2794000000000001,0.19079999999999997,1.4643605870020973
52,0.05,3,0.29140000000000005,0.16279999999999992,1.789926289926291
53,0.05,4,0.2627999999999999,0.18660000000000004,1.4083601286173626
54,0.05,5,0.27579999999999977,0.15319999999999998,1.8002610966057428
55,0.05,6,0.2868000000000001,0.17079999999999992,1.6791569086651068
56,0.05,7,0.2779999999999999,0.20659999999999987,1.3455953533397875
57,0.05,8,0.2684000000000001,0.1437999999999999,1.866481223922116
